BBSab,BBSb,WFBS1,WFBS2,WFBS3,WFBS4,WFBS5,WFBS6,WFBS7,WFBS8,WFBS9,WFBS10,WFBS11,WFBS12,WFBS13,WFBS14,WFBS15,WFBS16,WFBS17,WFBS18,WFBS19,WFBS20,WFBS21,WFBS22,WFBS23,WFBS24,WFBS25,WFBS26,WFBS27,WFBS28,WFBS29,WFBS30,WFBS31,WFBS32,WFBS33,WFBS34,WFBS35,WFBS36,WFBS37,WFBS38,WFBS39,WFBS40,WFBS41,WFBS42,WFBS43,WFBS44,WFBS45,WFBS46,WFBS47,WFBS48,WFBS49,WFBS50,WFBS51,WFBS52,WFBS53,WFBS54,WFBS55,WFBS56,WFBS57,WFBS58,WFBS59,WFBS60,WFBS61,WFBS62,WFBS63,WFBS64,WFBS65,WFBS66,WFBS67,WFBS68,WFBS69,WFBS70,WFBS71,WFBS72,WFBS73,WFBS74,WFBS75,WFBS76,WFBS77
439,49,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,49,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,49,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,49,Q020101,Q020101,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,49,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,49,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,
499,49,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,49,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,N0402NA,N0502NA,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,N0402NA,N0502NA,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,
4119,49,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4129,49,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P00102,P010202,P020202,P030202,P050202,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P001NA,P0102NA,P0202NA,P0302NA,P0502NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4139,49,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,49,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4159,49,Q030201,Q030201,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4169,49,M0408NA,M0408NA,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,59,Q070901,Q070901,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,59,Q070901,Q070901,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,59,Q070901,Q070901,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,59,Q070901,Q070901,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5109,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5119,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5139,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5159,59,Q070201,Q070201,Q070201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169,59,Q070101,Q070101,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,69,Q020101,Q020101,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,69,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,69,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,69,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,69,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,P010502,P020502,P030502,P040502,P050502,P060502,P070502,P080502,P090502,P0105NA,P0205NA,P0305NA,P0405NA,P0505NA,P0605NA,P0705NA,P0805NA,P0905NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,69,Q020101,Q020101,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,69,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,69,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,
699,69,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,69,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,N0402NA,N0502NA,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,N0402NA,N0502NA,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,
6119,69,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6129,69,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P00102,P010202,P020202,P030202,P050202,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P001NA,P0102NA,P0202NA,P0302NA,P0502NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139,69,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,69,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6159,69,Q030201,Q030201,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6169,69,M0408NA,M0408NA,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,110,M0101NA,M0101NA,M0101NA,M0101NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,110,M0103NA,M0103NA,M0103NA,M0103NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,110,M0104NA,M0104NA,M0104NA,M0104NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,110,M0105NA,M0105NA,M0105NA,M0105NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,110,M0106NA,M0106NA,M0106NA,M0106NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,110,Q020101,Q020101,Q020101,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,110,N010202,N020202,N030202,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,110,Q020101,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,
1910,110,Q020101,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,
11010,110,Q020101,N040202,N050202,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA
11110,110,Q020101,N060202,P010104,P020104,P030104,P040104,P070104,P090104,P010204,P020204,P030204,P040204,P070204,P090204,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,
11210,110,Q020101,N070302,P010104,P020104,P030104,P050104,P090104,P010204,P020204,P030204,P050204,P090204,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P010201,P020201,P030201,P050201,P090201,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P010202,P020202,P030202,P050202,P090202,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P0102NA,P0202NA,P0302NA,P0502NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11310,110,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11410,110,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11510,110,Q030201,Q030201,Q030201,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11610,110,M0108NA,M0108NA,M0108NA,M0108NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,210,M0201NA,M0201NA,M0201NA,M0201NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,210,M0203NA,M0203NA,M0203NA,M0203NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,210,M0204NA,M0204NA,M0204NA,M0204NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,210,M0205NA,M0205NA,M0205NA,M0205NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,210,M0206NA,M0206NA,M0206NA,M0206NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,210,Q020101,Q020101,Q020101,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,210,N010202,N020202,N030202,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,210,Q020101,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,
2910,210,Q020101,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,
21010,210,Q020101,N040202,N050202,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA
21110,210,Q020101,N060202,P010104,P020104,P030104,P040104,P070104,P090104,P010204,P020204,P030204,P040204,P070204,P090204,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,
21210,210,Q020101,N070302,P010104,P020104,P030104,P050104,P090104,P010204,P020204,P030204,P050204,P090204,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P010201,P020201,P030201,P050201,P090201,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P010202,P020202,P030202,P050202,P090202,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P0102NA,P0202NA,P0302NA,P0502NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21310,210,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21410,210,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21510,210,Q030201,Q030201,Q030201,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21610,210,M0208NA,M0208NA,M0208NA,M0208NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,310,M0401NA,M0401NA,M0401NA,M0401NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210,310,M0403NA,M0403NA,M0403NA,M0403NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,310,M0404NA,M0404NA,M0404NA,M0404NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,310,M0405NA,M0405NA,M0405NA,M0405NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,310,M0406NA,M0406NA,M0406NA,M0406NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
